零件编号,名称,模块,数量,层,工艺候选,尺寸 mm,体积 mm3
P02_HMI_WRIST_GLASS,WRIST 显示盖板 / 64 × 38,P02,1,electronics,玻璃/聚合物盖板包络,63.2 x 37.2 x 1.8,4217.94
H03_HMI_BRACKET,前臂显示器固定支架,H03,1,frame,机加工候选,58.0 x 34.0 x 6.0,11676.66
H03_FOREARM_LINK,连接肘轴与握把的闭口连杆,H03,2,frame,机加工候选,18.0 x 14.0 x 94.85,18826.69
H03_GRIP_COLLAR,握把上端固定套,H03,2,frame,机加工候选,34.0 x 41.0 x 24.0,32939.89
H03_PELVIC_MOUNT,主控臂骨盆端固定座,H03,2,frame,机加工候选,28.0 x 45.0 x 48.0,57539.95
A04_PARALLEL_JAW,同向平行夹指 / 内扣指尖,A04,4,frame,机加工候选,24.0 x 20.0 x 72.0,20392.27
A04_CONTACT_PAD,夹指内侧摩擦垫,A04,4,soft,机加工候选,4.0 x 20.0 x 14.0,1112.29
L06_TOE_PIN,前掌铰链实体销轴 / Ø8 × 124,L06,2,hardware,金属销轴候选,8.0 x 8.0 x 124.0,6229.2
L06_HINGE_HEEL,后足铰链耳 / Ø8.4,L06,4,frame,机加工候选,18.5 x 26.0 x 8.0,2331.31
L06_HINGE_TOE,前掌铰链耳 / Ø8.4,L06,4,frame,机加工候选,18.5 x 26.0 x 8.0,2331.31
L06_PIN_RETAINER,铰链销轴端部限位环,L06,4,hardware,机加工候选,13.0 x 13.0 x 3.0,239.62
L02_END_SOCKET,承力管端部插接套 / 待配合定型,L02,4,frame,机加工候选,55.0 x 36.0 x 90.0,67399.01
L04_END_SOCKET,承力管端部插接套 / 待配合定型,L04,4,frame,机加工候选,47.0 x 36.0 x 64.0,43832.18
L05_AXLE,踝叉实体轴 / Ø12 × 54,L05,2,hardware,机加工候选,12.0 x 12.0 x 54.0,6103.61
L05_AXLE_ADAPTER,踝轴到轴承内环适配套,L05,2,hardware,机加工候选,23.59 x 23.6 x 12.0,3844.15
A01_VENT_BLADE,肩盖散热口分隔片,A01,6,hardware,机加工候选,56.0 x 5.0 x 5.0,1395.7
A02_SERVICE_LATCH,上臂护壳快拆锁扣,A02,2,hardware,机加工候选,17.0 x 9.0 x 25.0,3755.33
L04_SERVICE_LATCH,小腿维护盖锁扣,L04,2,hardware,机加工候选,13.0 x 8.0 x 19.0,1934.16
